"user_id","skill_id","correct"
64525,1,"1"
64525,1,"1"
70363,1,"0"
70363,1,"1"
70363,1,"0"
70363,1,"1"
70363,1,"1"
70677,1,"1"
70707,1,"1"
70727,1,"1"
70729,1,"0"
70729,1,"1"
70729,1,"1"
70730,1,"0"
70730,1,"0"
70730,1,"1"
70730,1,"1"
70733,1,"0"
70733,1,"1"
70733,1,"0"
70733,1,"1"
70736,1,"0"
70736,1,"0"
70736,1,"1"
70736,1,"1"
70736,1,"1"
70746,1,"1"
70746,1,"1"
70756,1,"1"
70759,1,"1"
70872,1,"1"
70874,1,"1"
70874,1,"1"
70874,1,"1"
71175,1,"0"
71175,1,"1"
71175,1,"1"
71176,1,"1"
71176,1,"0"
71176,1,"0"
71176,1,"1"
71176,1,"0"
71177,1,"1"
71177,1,"1"
71179,1,"1"
71179,1,"1"
71183,1,"1"
71183,1,"1"
71187,1,"1"
71187,1,"1"
71190,1,"1"
71193,1,"1"
71205,1,"1"
71205,1,"1"
71209,1,"1"
71211,1,"1"
71212,1,"1"
71221,1,"1"
71224,1,"1"
71224,1,"1"
71225,1,"1"
71225,1,"1"
71227,1,"0"
71227,1,"1"
71227,1,"1"
71230,1,"0"
71230,1,"1"
71230,1,"1"
71232,1,"1"
71232,1,"1"
71250,1,"1"
71740,1,"1"
71826,1,"1"
71826,1,"1"
71826,1,"1"
71826,1,"1"
71831,1,"1"
71872,1,"1"
71872,1,"1"
71874,1,"1"
71874,1,"0"
71874,1,"0"
71874,1,"1"
71881,1,"1"
72059,1,"0"
72059,1,"1"
72059,1,"0"
72059,1,"1"
72378,1,"1"
72880,1,"1"
72880,1,"1"
73684,1,"0"
73684,1,"1"
73684,1,"1"
73684,1,"1"
73685,1,"1"
73685,1,"0"
73685,1,"1"
73685,1,"1"
73962,1,"1"
73962,1,"1"
74698,1,"1"
75169,1,"1"
75169,1,"1"
75169,1,"1"
78073,1,"1"
78073,1,"1"
78073,1,"1"
78073,1,"1"
78073,1,"1"
78073,1,"1"
78073,1,"1"
78673,1,"1"
78673,1,"1"
78673,1,"1"
78673,1,"1"
78675,1,"1"
78903,1,"1"
78903,1,"1"
78903,1,"1"
78903,1,"1"
78903,1,"1"
78903,1,"1"
78903,1,"1"
78903,1,"1"
78903,1,"1"
78904,1,"1"
78904,1,"1"
78904,1,"1"
78904,1,"1"
78904,1,"0"
78904,1,"1"
78904,1,"1"
78904,1,"1"
78904,1,"1"
78904,1,"1"
78905,1,"0"
78905,1,"1"
78905,1,"1"
78905,1,"1"
78906,1,"1"
78906,1,"1"
78906,1,"1"
78906,1,"1"
78906,1,"1"
78906,1,"1"
78906,1,"1"
78906,1,"1"
78907,1,"0"
78907,1,"1"
78907,1,"1"
78907,1,"1"
78907,1,"0"
78907,1,"1"
78907,1,"1"
78908,1,"1"
78908,1,"1"
78908,1,"1"
78908,1,"1"
78908,1,"1"
78908,1,"1"
78908,1,"1"
78909,1,"1"
78909,1,"1"
78909,1,"1"
78909,1,"1"
78909,1,"0"
78909,1,"1"
78909,1,"1"
78909,1,"1"
78909,1,"1"
78909,1,"1"
78910,1,"0"
78910,1,"1"
78910,1,"1"
78910,1,"0"
78910,1,"1"
78910,1,"1"
78910,1,"1"
78910,1,"1"
78910,1,"1"
78911,1,"0"
78911,1,"1"
78911,1,"1"
78911,1,"1"
78911,1,"1"
78911,1,"1"
78912,1,"1"
78912,1,"1"
78912,1,"1"
78912,1,"1"
78912,1,"1"
78912,1,"1"
78913,1,"1"
78913,1,"0"
78913,1,"1"
78913,1,"0"
78913,1,"1"
78913,1,"1"
78913,1,"1"
78914,1,"1"
78914,1,"1"
78914,1,"1"
78914,1,"1"
78914,1,"1"
78915,1,"1"
78915,1,"1"
78915,1,"1"
78915,1,"0"
78915,1,"1"
78915,1,"0"
78915,1,"1"
78915,1,"1"
78915,1,"0"
78915,1,"0"
78915,1,"0"
78915,1,"1"
78915,1,"0"
78915,1,"1"
78915,1,"0"
78915,1,"1"
78915,1,"0"
78915,1,"1"
78915,1,"1"
78915,1,"1"
78915,1,"0"
78915,1,"0"
78915,1,"1"
78915,1,"1"
78915,1,"1"
78916,1,"1"
78916,1,"0"
78916,1,"1"
78916,1,"1"
78916,1,"1"
78916,1,"1"
78916,1,"1"
78916,1,"1"
78916,1,"1"
78916,1,"1"
78917,1,"0"
78917,1,"1"
78917,1,"1"
78917,1,"1"
78917,1,"1"
78917,1,"1"
78917,1,"1"
78917,1,"1"
78917,1,"0"
78917,1,"1"
78917,1,"1"
78917,1,"1"
78918,1,"1"
78918,1,"1"
78918,1,"1"
78918,1,"1"
78918,1,"0"
78918,1,"0"
78918,1,"0"
78918,1,"1"
78918,1,"1"
78918,1,"1"
78918,1,"1"
78918,1,"1"
78918,1,"1"
78919,1,"1"
78919,1,"1"
78919,1,"1"
78919,1,"1"
78919,1,"0"
78919,1,"1"
78919,1,"1"
78919,1,"1"
78919,1,"1"
78920,1,"1"
78920,1,"1"
78920,1,"1"
78920,1,"1"
78920,1,"1"
78921,1,"1"
78921,1,"1"
78921,1,"1"
78921,1,"1"
78921,1,"1"
78921,1,"1"
78921,1,"1"
78922,1,"1"
78922,1,"1"
78922,1,"1"
78922,1,"1"
78922,1,"1"
78922,1,"1"
78923,1,"1"
78923,1,"1"
78923,1,"1"
78923,1,"0"
78923,1,"1"
78923,1,"1"
78923,1,"1"
78923,1,"1"
78923,1,"1"
78926,1,"0"
78926,1,"1"
78926,1,"1"
78926,1,"1"
78926,1,"1"
78926,1,"1"
78926,1,"1"
78926,1,"1"
78970,1,"0"
78970,1,"0"
78970,1,"1"
78970,1,"1"
78970,1,"1"
78970,1,"1"
78970,1,"0"
78970,1,"0"
78970,1,"0"
78970,1,"1"
78970,1,"1"
78970,1,"1"
78970,1,"1"
78970,1,"0"
78970,1,"0"
78970,1,"0"
78970,1,"1"
78970,1,"0"
78970,1,"1"
78970,1,"0"
78970,1,"0"
78970,1,"1"
78970,1,"1"
78970,1,"1"
78970,1,"1"
78970,1,"0"
78970,1,"0"
78970,1,"0"
78971,1,"1"
78971,1,"0"
78971,1,"1"
78972,1,"0"
78972,1,"0"
78972,1,"1"
78972,1,"1"
78972,1,"1"
78972,1,"1"
78972,1,"1"
78974,1,"0"
78974,1,"1"
78974,1,"1"
78974,1,"1"
78974,1,"1"
78974,1,"1"
78974,1,"1"
78974,1,"1"
78976,1,"0"
78976,1,"1"
78976,1,"0"
78976,1,"0"
78976,1,"1"
78976,1,"1"
78976,1,"1"
78977,1,"0"
78977,1,"1"
78977,1,"1"
78977,1,"1"
78977,1,"1"
78977,1,"1"
78977,1,"1"
78977,1,"1"
78978,1,"0"
78978,1,"0"
78978,1,"1"
78978,1,"1"
78978,1,"1"
78978,1,"0"
78978,1,"1"
78978,1,"1"
78978,1,"1"
78978,1,"1"
78980,1,"0"
78980,1,"0"
78980,1,"1"
78980,1,"0"
78980,1,"1"
78980,1,"1"
78980,1,"0"
78980,1,"0"
78980,1,"0"
78980,1,"0"
78980,1,"0"
78980,1,"0"
78980,1,"1"
78980,1,"1"
78980,1,"1"
78980,1,"1"
78980,1,"1"
78980,1,"1"
78981,1,"1"
